RecordNameAmbienceDay,[기본 환경음] 오전,아침을 깨우는 소리,Morning Awakening
RecordNameAmbienceSunset,[기본 환경음] 오후,오후의 풀벌레,Afternoon Insects
RecordNameAmbienceNight,[기본 환경음] 밤,고요한 밤,Quiet Night
RecordNameAmbienceDeepUnderwater,수면 아래,아득한 물속,Deep Underwater
QuestCostumeBuy,Quest,코스튬 아이템을 {0}개 구매해요.,Buy {0} costume items.
QuestFishingItemBuy,Quest,낚시 아이템을 {0}개 구매해요.,Buy {0} fishing items.
QuestRecipeBuy,Quest,레시피 아이템을 {0}개 해금해봐요.,Try unlocking {0} recipe items.
QuestJournalCostume,Quest,코스튬 도감에 코스튬을 총 {0}개 등록해요.,Register a total of {0} costumes in the costume encyclopedia.
QuestJournalFood,Quest,음식 도감에 음식을 총 {0}개 등록해봐요.,Try registering a total of {0} foods in the food encyclopedia.
QuestJournalInterior,Quest,인테리어 도감에 인테리어를 총 {0}개 등록해요.,Register a total of {0} interiors in the interior catalog.
QuestStatStaminalLevel,Quest,스태미너 수치 {0}레벨을 달성해봐요.,Try to reach level {0} in stamina.
QuestStatMoveSpeedLevel,Quest,이동속도 수치 {0}레벨을 달성해요.,Achieve level {0} in movement speed.
QuestStatFishingSpeedLevel,Quest,낚시속도 수치 {0}레벨을 달성해봐요.,Try to reach level {0} in fishing speed.
QuestStatStaminaHealLevel,Quest,스태미너 회복 수치 {0}레벨을 달성해요.,Achieve level {0} in stamina recovery.
ItemNameUpperBait,,상급 미끼,Upper Bait
ItemNameNiceBobber,,강화된 낚시찌,Enhanced Bobber
ItemNameNicePole,,강화된 낚싯대,Enhanced Fishing Pole
ItemDescUpperBait,,특수 추출물로 제작된 최상급 미끼에요. 희귀한 물고기가 나타날 확률을 극대화해줘요.,It is a top-grade bait made with special extracts. It maximizes the chance of rare fish appearing.
ItemDescNiceBobber,,수십 년 경력의 장인이 벼려낸 명품 낚싯대에요. 가벼우면서도 거대한 대어의 힘을 완벽히 견뎌낸답니다.,This is a masterpiece fishing rod forged by a craftsman with decades of experience. It is lightweight yet perfectly withstands the power of a massive fish.
ItemDescNicePole,,수면 아래의 미세한 움직임도 놓치지 않는 정밀 찌에요. 어떤 환경에서도 물고기의 위치를 정확히 파악해줘요.,It is a precision float that does not miss even the slightest movements beneath the surface. It accurately locates the fish in any environment.
RecordTabBg,Record,배경음,Background
RecordTabAmb,Record,환경음,Ambient
RecordTabPlaylist,Record,플레이리스트,Playlist
RecordSortDropdown,Record,정렬,Sort
RecordFilterDropdown,Record,필터,Filter
RecordSortDefaultOption,Record,기본,Default
RecordSortTitleOption,Record,제목,Title
RecordSortArtistOption,Record,아티스트,Artist
RecordSortRecentPlay,Record,최근에 재생,Recently Played
RecordSortRecentCreate,Record,최근에 생성,Recently Created
RecordFilterAllOption,Record,전체,All
RecordFilterFavoriteOption,Record,즐겨찾기,Favorites
RecordFilterGeneralOption,Record,일반,General
RecordFilterSpringOption,Record,봄,Spring
RecordFilterSummerOption,Record,여름,Summer
RecordFilterAutumnOption,Record,가을,Autumn
RecordFilterWinterOption,Record,겨울,Winter
RecordFilterCollaborationOption,Record,콜라보,Collaboration
RecordFilterWeatherOption,Record,날씨,Weather
RecordFilterNatureOption,Record,자연,Nature
RecordFilterLifeOption,Record,생활 소음,Life Sounds
RecordSourceWeather,Record,날씨,Weather
RecordSourceNature,Record,자연,Nature
RecordSourceLife,Record,생활 소음,Life Sounds
RecordMessageUnlock,Record,음반 조각 3개를 소모하여 새로운 음반을 해금할까요?,Shall we use 3 LP Pieces to unlock a new record?
RecordButtonPreview,Record,미리 듣기,Preview
RecordButtonExchange,Record,교환,Exchange
RecordMessageUnlockSuccess,Record,새로운 음반이 해금되었어요. 편안하게 감상해볼까요?,A new record is unlocked. Shall we listen and relax?
RecordButtonConfirm,Record,확인,Confirm
RecordButtonCancel,Record,취소,Cancel
RecordMessageUnlockFailure,Record,음반 조각이 부족해요. 낚시를 하며 조각을 더 모아볼까요?,We need more LP Pieces. How about fishing to find some?
RecordMessagePreview,Record,음반을 미리 들어보고 있어요...,Previewing the record...
RecordMessageAddPlaylist,Record,플레이리스트에 추가,Add to Playlist
RecordInputMessagePlaylistTitle,Record,플레이리스트 제목 입력,Name Your Playlist
RecordSortRecentPlay,Record,최근에 재생,Recently Played
RecordSortRecentCreate,Record,최근에 생성,Recently Created
RecordNameCurrentPlaylist,Record,현재 재생 목록,Now Playing
RecordMessagePlaylistNameError,Record,"플레이리스트 이름이 조금 긴가 봐요!\n한글은 10자, 영문은 20자 이내로 예쁜 이름을 다시 지어볼까요?",The playlist name is a bit too long!\nPlease keep it within 10 Korean or 20 English characters.
RecordButtonCreatePlaylist,Record,새로 만들기,New playlist
RecordInputMessagePlaylistRename,Record,플레이리스트 제목 수정,Rename Playlist
RecordMessageDeletePlaylist,Record,정말 이 플레이리스트를 삭제할까요?,Are you sure you want to delete this playlist?
RecordMessageCreatedDate,Record,만든 날짜 ({0}),Date Created ({0})
RecordMessageRecordCount,Record,수록된 곡 수 ({0}곡),Records ({0})
RecordMessageTotalTime,Record,총 시간 ({0}분 {1}초),Total Time ({0}m {1}s)
RecordButtonPlay,Record,재생,Play
RecordButtonShuffle,Record,셔플,Shuffle
InteriorNameThemeTerrain01,,파스텔 도자기 모래바닥,Pastel ceramic sand floor
InteriorNameThemeDeco01,,물결에 쌓인 다기 세트,Tea set piled in waves
InteriorNameThemeTerrain02,,따스한 산호 모래 바닥,warm coral sand bottom
InteriorNameThemeDeco02,,무지개빛 둥근 산호,Rainbow-colored round coral
InteriorNameThemeTerrain03,,고운 조약돌 모래바닥,fine pebbles and sandy bottom
InteriorNameThemeDeco03,,둥근 이끼 바위,Round mossy rock
InteriorNameThemeTerrain04,,이끼 낀 고대 석재 바닥,Moss-covered ancient stone floor
InteriorNameThemeDeco04,,부서진 신전 조각상,Broken temple statue
InteriorNameThemeTerrain05,,나무 조각이 흩어진 모래 언덕,Sand dunes scattered with wood chips
InteriorNameThemeDeco05,,잠든 낡은 목선,Sleeping old wooden boat
InteriorNameThemeTerrain06,,화산열 품은 암석 바닥,Rocky floor containing volcanic heat
InteriorNameThemeDeco06,,황금빛 마그마 틈새,Golden magma crevice
InteriorNameThemeTerrain07,,겹겹이 쌓인 조개 바닥,Layers of stacked shells on the seabed
InteriorNameThemeDeco07,,핑크빛 조개 산호,Pink shell coral
InteriorNameThemeTerrain08,,물결 흔적 남은 고운 모래바닥,Fine sandy bottom with traces of waves
InteriorNameThemeDeco08,,둥글게 말린 바다 매듭,A coiled sea knot
InteriorDescThemeTerrain01,,부드러운 모래 위로 파스텔톤 도자기 파편들이 별빛처럼 흩어진 바닥이에요.,It is a floor where pastel-toned pottery shards are scattered like starlight over soft sand.
InteriorDescThemeDeco01,,"누군가의 소중했던 다기들이 물결을 따라 둥글게 쌓여, 물속의 신비로운 티파니 풍경을 자아내요.","Someone's cherished teaware is piled up in a circle along the waves, creating a mysterious Tiffany landscape underwater."
InteriorDescThemeTerrain02,,발을 딛으면 기분 좋은 온기가 느껴질 듯한 곱고 따스한 산호 모래바닥이에요.,"It is a fine, warm coral sand floor that feels like it would give off a pleasant warmth if you stepped on it."
InteriorDescThemeDeco02,,무지개 빛깔의 둥근 산호들과 앙증맞은 불가사리들이 어우러져 화사하고 생기 넘치는 정원을 만들어요.,Rainbow-colored round corals and adorable starfish come together to create a bright and lively garden.
InteriorDescThemeTerrain03,,잔잔한 물살에 오랜 시간 다듬어진 고운 모래와 작은 조약돌이 깔린 평화로운 바닥이에요.,"It is a peaceful bottom covered with fine sand and small pebbles, polished over a long period by the gentle currents."
InteriorDescThemeDeco03,,세월의 흔적을 품은 둥글고 커다란 이끼 바위들이 물고기들에게 아늑하고 조용한 휴식처를 내어줘요.,"Large, round mossy rocks bearing the traces of time provide a cozy and quiet resting place for the fish."
InteriorDescThemeTerrain04,,수백 년 동안 깊은 물속에 잠겨 은은한 푸른빛 이끼가 내려앉은 고대의 석재 바닥이에요.,"It is an ancient stone floor that has been submerged in deep water for hundreds of years, covered in soft blue moss."
InteriorDescThemeDeco04,,장엄한 조각상과 부서진 신전의 기둥들이 웅장하면서도 쓸쓸한 심해의 오랜 전설을 조용히 들려줘요.,"Majestic statues and the pillars of the broken temple quietly tell the ancient legend of the deep sea, which is grand yet lonely."
InteriorDescThemeTerrain05,,"파도에 밀려온 모래 언덕 위로, 바스라진 나뭇조각들이 푹신하게 내려앉은 바닥이에요.",It is a floor where crumbled pieces of wood have settled softly on the sand dunes washed ashore by the waves.
InteriorDescThemeDeco05,,오래전 거친 바다를 항해하던 낡은 목선과 나무통들이 이제는 바닷속 친구들의 포근한 놀이터가 되었어요.,The old wooden boats and barrels that once sailed the rough seas long ago have now become a cozy playground for friends in the sea.
InteriorDescThemeTerrain06,,"거칠어 보이지만, 그 속에 뜨거운 열기와 생명력을 단단하게 품고 있는 어두운 암석 바닥이에요.","It looks rough, but it is a dark rocky floor that firmly holds intense heat and vitality within."
InteriorDescThemeDeco06,,바위틈 사이로 흐르는 황금빛 마그마가 차갑고 깊은 물속을 모닥불처럼 아늑하게 밝혀줘요.,"Golden magma flowing through the crevices of the rocks illuminates the cold, deep water cozily like a campfire."
InteriorDescThemeTerrain07,,"수만 개의 매끄럽고 둥근 조개껍데기들이 겹겹이 모여, 구름처럼 부드러운 둔덕을 이룬 바닥이에요.","It is a bottom made of tens of thousands of smooth, round seashells gathered layer upon layer to form a soft, cloud-like mound."
InteriorDescThemeDeco07,,은은한 핑크빛과 연하늘색으로 빛나는 조개 산호들이 몽환적이고 사랑스러운 바닷속 풍경을 선물해요.,Shell corals shining in soft pink and light blue hues present a dreamy and lovely underwater scenery.
InteriorDescThemeTerrain08,,"물결이 지나간 흔적이 리듬감 있게 남아있는, 고요하고 부드러운 모래바닥이에요.",It is a quiet and soft sandy bottom where the traces of the passing waves remain rhythmically.
InteriorDescThemeDeco08,,"버려진 그물과 밧줄들이 물살에 둥글게 뭉쳐져, 바다가 정성스레 빚어낸 한 편의 예술 작품이 되었어요.","The discarded nets and ropes were gathered into a circle by the current, becoming a work of art lovingly crafted by the sea."
ShopCategoryIslandInterior,상점 ui 카테고리,섬 인테리어,Island Interior
ShopCategoryLakeInterior,상점 ui 카테고리,호수 인테리어,Lake Interior
ShopCategoryCostume,상점 ui 카테고리,코스튬,Costume
ShopCategoryFishingItem,상점 ui 카테고리,낚시 아이템,Fishing Item
ShopCategoryRecipe,상점 ui 카테고리,레시피,Recipe
ShopSortHave,,보유 아이템 순,Owned
ShopSortNotHave,,미보유 아이템 순,UnOwned
ShopSortHighPrice,,높은 가격 순,Highest Price
ShopSortLowPrice,,낮은 가격 순,Lowest Price
IslandInteriorShopFilterMainHouse,,메인 하우스,Main House
IslandInteriorShopFilterFloor,,바닥,Floor
IslandInteriorShopFilterFix,,고정,Fix
IslandInteriorShopFilterFree,,자유,Free
LakeInteriorShopFilterFloor,,바닥재,Floor
LakeInteriorShopFilterOrnament,,장식물,Ornament
CostumeShopFilterHead,,머리,Head
CostumeShopFilterBody,,의류,Body
FishingItemShopFilterPole,,낚싯대,Pole
FishingItemShopFilterBait,,미끼,Bait
FishingItemShopFilterBobber,,낚시찌,Bobber
ShopButtonPurchase,,구매,Purchase
ShopButtonSell,,판매,Sell
ShopButtonMax,,최대,Max
ShopButtonEquip,,장착,Equip
ShopButtonUnequip,,해제,Unequip
FoodNameSashimiMullet,음식,숭어회,Mullet Sashimi
FoodNameSashimiTrout,,송어회,Trout Sashimi
FoodNameGrilledSeaEel,,붕장어구이,Grilled SeaEel
FoodNameBoiledHairtail,,갈치 조림,Boiled Hairtail
FoodNameSteamedMonkfish,,아귀찜,Steamed Monkfish
FoodNameSashimiYellowtail,,방어회,Yellowtail Sashimi
FoodNameBoiledSardine,,정어리 조림,Boiled Sardine
FoodNameSteamedPirarucu,,피라루크 찜,Steamed Pirarucu
FoodNameGrilledMackerel,,고등어 구이,Grilled Mackerel
FoodNameGrilledKingPrawn,,대하 소금구이,Grilled KingPrawn
FoodNameBoiledOarfish,,산갈치 조림,Boiled Oarfish
FoodNameGrilledSpermWhale,,향유고래구이,Grilled SpermWhale
FoodNameSeasonedIcefish,,빙어 무침,Seasoned Icefish
FoodDescSashimiMullet,음식 설명,찰진 식감이 일품이에요. 씹을수록 올라오는 은은한 단맛과 흙내 없는 담백함이 특징이에요.,"The chewy texture is superb. It is characterized by a subtle sweetness that emerges as you chew and a clean, savory taste without any earthy flavor."
FoodDescSashimiTrout,,선홍빛 살점의 부드러운 해삼 같은 식감과 특유의 고소하고 깔끔한 풍미를 가졌어요. 민물고기답지 않게 아주 담백해요.,"It has a soft, sea cucumber-like texture with bright red flesh and a distinctive nutty and clean flavor. It is very mild, unlike typical freshwater fish."
FoodDescGrilledSeaEel,,기름기를 쏙 빼 포슬포슬하면서도 쫄깃한 살결을 자랑해요. 씹을수록 고소함이 터지는 보양식이에요.,It boasts a fluffy yet chewy texture with all the fat removed. It is a nourishing dish with a burst of savory flavor that kicks in as you chew.
FoodDescBoiledHairtail,,부드럽게 부서지는 은빛 살에 매콤한 양념이 쏙 배어 있어요. 달큰한 무와 함께 즐기는 최고의 밥도둑이에요.,"The spicy seasoning is thoroughly infused into the tender, crumbly silver meat. It is the ultimate rice thief to enjoy with sweet radish."
FoodDescSteamedMonkfish,,탄력 있는 껍질의 콜라겐과 결대로 찢어지는 담백한 속살이 특징이에요.,It is characterized by the collagen in the elastic skin and the tender flesh that tears along the grain.
FoodDescSashimiYellowtail,,겨울철 오른 기름기 덕분에 입안에서 녹아내리는 듯한 부드러움을 느낄 수 있어요. 진한 고소함이 정말 압권이에요.,"Thanks to the richness of the winter season, you can feel a softness that feels like it melts in your mouth. The intense nutty flavor is truly outstanding."
FoodDescBoiledSardine,,작지만 알찬 살집에 등푸른생선 특유의 진한 풍미가 녹아 있어요. 짭조름한 양념과 아주 잘 어우러져요.,It has small but substantial flesh infused with the rich flavor characteristic of blue-backed fish. It pairs very well with the salty seasoning.
FoodDescSteamedPirarucu,,거대한 크기만큼이나 두툼하고 탄탄한 살점이 매력적이에요.,"The thick, firm flesh is as appealing as its massive size."
FoodDescGrilledMackerel,,노릇하게 구워진 껍질 속의 촉촉한 육즙이 일품이에요. 입안 가득 퍼지는 고소한 지방의 풍미를 즐겨보세요.,The moist meat inside the golden-brown skin is exquisite. Enjoy the savory flavor of the fat that fills your mouth.
FoodDescGrilledKingPrawn,,소금 위에서 익혀져 탱글탱글한 탄력이 살아 있어요. 새우 본연의 진한 감칠맛을 가장 잘 느낄 수 있는 조리법이에요.,"Cooked over salt, it retains its firm, bouncy texture. This cooking method allows you to best experience the rich, natural umami flavor of the shrimp."
FoodDescBoiledOarfish,,매우 희귀한 심해어로 일반 갈치보다 살이 훨씬 연해요. 수분감이 많아 입안에서 가볍게 흩어지는 식감을 가졌어요.,"It is a very rare deep-sea fish with much softer flesh than regular cutlassfish. It is very moist, giving it a texture that lightly melts in your mouth."
FoodDescGrilledSpermWhale,,붉은 살코기의 묵직한 질감이 느껴져요. 참치만의 독특한 육향이 매력적이에요.,You can feel the substantial texture of the red lean meat. The unique meaty flavor of tuna is appealing.
FoodDescSeasonedIcefish,,투명하고 신선한 전어를 채소와 버무린 별미에요. 뼈째 씹히는 고소함과 상큼한 양념이 조화를 이뤄요.,"It is a delicacy made by mixing clear, fresh gizzard shad with vegetables. The savory flavor of the bones, when chewed whole, harmonizes with the refreshing seasoning."
RecordNameIndigoBalcony,음악 제목,베란다의 푸른 밤,Indigo Balcony
RecordNameMidnightGroove,,자정의 그루브,Midnight Groove
RecordNameCityNight,,도시의 밤,City Night
RecordNameNightRipples,,밤의 윤슬,Night Ripples
RecordNameAfternoonFragments,,오후의 조각,Afternoon Fragments
RecordNameMetropolisRoutine,,Metropolis Routine,Metropolis Routine
RecordNameUrbanBreeze,,Urban Breeze,Urban Breeze
RecordNameBlueHour,,Blue Hour,Blue Hour
RecordNameNeonMelody,,네온 멜로디,Neon Melody
RecordNameSunlitWindowside,,햇살이 머무는 창가,Sunlit Windowside
RecordNameSunnyMorning,,기분 좋은 아침,Sunny Morning
RecordNamePinkNoise,,Pink Noise,Pink Noise
RecordNameWalkingonClouds,,Walking on Clouds,Walking on Clouds
RecordNameWatercolorDiary,,Watercolor Diary,Watercolor Diary
RecordNameThePicnicBasket,,The Picnic Basket,The Picnic Basket
RecordNameLateSpringConfession,,늦봄의 고백,Late Spring Confession
RecordNameSummerSiesta,,Summer Siesta,Summer Siesta
RecordNameMoonlitBeach,,Moonlit Beach,Moonlit Beach
RecordNameCoolWave,,Cool Wave,Cool Wave
RecordNameSummerEpilogue,,여름의 에필로그,Summer Epilogue
RecordNameMemoriesontheSand,,Memories on the Sand,Memories on the Sand
RecordNameDepressedSummer,,Depressed Summer,Depressed Summer
RecordNameSummerRoad,,Summer Road,Summer Road
RecordNameASummerRest,,A Summer Rest,A Summer Rest
RecordNameStarlightDrive,,Starlight Drive,Starlight Drive
RecordNameMakemeYawn,,Make me Yawn,Make me Yawn
RecordNameAftertheSummerShower,,여름 소나기 뒤,After the Summer Shower
RecordNameTheHumidAir,,The Humid Air,The Humid Air
RecordNameSummerStep,,Summer Step,Summer Step
RecordNameAutumn’sFirstDay,,가을날의 첫 등교,Autumn’s First Day
RecordNameThe6PMRoutine,,The 6 PM Routine,The 6 PM Routine
RecordNameRhythmofFallingLeaves,,낙엽의 리듬,Rhythm of Falling Leaves
RecordNameWheretheLeavesOnceRested,,낙엽이 머물다 간 자리,Where the Leaves Once Rested
RecordNameTheLastPageoftheAutumn,,가을의 마지막 페이지,The Last Page of the Autumn
RecordNameAutumnChill-out,,Autumn Chill-out,Autumn Chill-out
RecordNameSketchofanAutumnDay,,Sketch of an Autumn Day,Sketch of an Autumn Day
RecordNameAutumnAfternoonattheCafeTerrace,,Autumn Afternoon at the Cafe Terrace,Autumn Afternoon at the Cafe Terrace
RecordNameMapleDream,,Maple Dream,Maple Dream
RecordNameEndoftheBrownWind,,End of the Brown Wind,End of the Brown Wind
RecordNameWinterStillness,,Winter Stillness,Winter Stillness
RecordNameWinterNightDiary,,Winter Night Diary,Winter Night Diary
RecordNameTheTemperatureofFirstSnow,,The Temperature of First Snow,The Temperature of First Snow
RecordNameChristmasatDawn,,새벽의 크리스마스,Christmas at Dawn
RecordNameChristmasMorningSunshine,,Christmas Morning Sunshine,Christmas Morning Sunshine
RecordNameWaltzofFrozenTime,,Waltz of Frozen Time,Waltz of Frozen Time
RecordNameFirstSnow,,첫 눈,First Snow
RecordNameWhisperofFrostFlowers,,서리꽃의 속삭임,Whisper of Frost Flowers
RecordNameEndoftheSeason,,계절의 끝,End of the Season
RecordDescIndigoBalcony,음악 설명,생동감 넘치고 감각적인 도시의 야경 분위기를 담아보았어요.,Expressing a vibrant and sensual nighttime atmosphere of the city
RecordDescMidnightGroove,,세련된 도시의 야경이 지닌 멋진 분위기를 표현했어요.,Expressing the sophisticated nighttime atmosphere of the city
RecordDescCityNight,,밤의 도심 속을 드라이브하는 듯한 청량하고 감각적인 기분을 담았어요.,Expressing a refreshing and sensual atmosphere like driving through the city at night
RecordDescNightRipples,,밤거리를 평화롭게 비추는 도시의 야경을 떠올리며 쓴 곡이에요.,It evokes the night view of a city peacefully illuminating the streets.
RecordDescAfternoonFragments,,오후의 햇살처럼 밝고 여유로운 분위기를 자아내고 싶었어요.,Evokes a bright and relaxed atmosphere like the afternoon sun.
RecordDescMetropolisRoutine,,바쁘게 움직이는 도시의 일상 속에서 발견한 세련된 감성을 담아냈어요.,Capturing the sophisticated sensibility found in the busy daily life of the city
RecordDescUrbanBreeze,,빌딩 사이로 불어오는 시원한 바람처럼 청량하고 기분 좋은 에너지를 전해드려요.,Delivering refreshing and pleasant energy like a cool breeze blowing between buildings
RecordDescBlueHour,,해 질 녘 도시가 머금은 편안한 정취를 곡에 녹여냈어요.,Capturing the relaxed atmosphere of the city at sunset
RecordDescNeonMelody,,네온사인이 일렁이는 도심 속의 낭만적인 밤 풍경을 그려보았어요.,A painting of a romantic night scene in the city center with flickering neon signs.
RecordDescSunlitWindowside,,창가로 스며드는 따스한 봄 햇살처럼 평화롭고 나른한 감성을 담았어요.,A peaceful and languid sensibility like warm spring sunlight seeping through the window
RecordDescSunnyMorning,,평화롭고 설레는 분위기 속에서 일상 속 작은 행복을 떠올리게 해요.,"Evokes a peaceful and heart-fluttering atmosphere, reminding one of small joys in everyday life"
RecordDescPinkNoise,,봄의 산뜻하고 생명력 있는 느낌을 음악으로 표현했어요.,Expressing the fresh and vibrant feeling of spring
RecordDescWalkingonClouds,,마치 몽글몽글한 구름 위를 산책하는 듯한 가볍고 포근한 느낌을 담았어요.,"A light and cozy feeling, like taking a walk on fluffy clouds"
RecordDescWatercolorDiary,,봄날을 연상시키는 부드럽고 따뜻한 사운드를 들려드릴게요.,Soft and warm sound reminiscent of a spring day
RecordDescThePicnicBasket,,가벼운 나들이를 떠나는 듯한 리드미컬한 무드를 연출했어요.,A rhythmic mood like going on an outing
RecordDescLateSpringConfession,,마음 한구석이 몽글해지는 애틋하고 따스한 감정을 담아냈어요.,Capturing tender and warm emotions
RecordDescSummerSiesta,,무더운 낮에 즐기는 평온한 휴식의 시간을 연상하며 만들었어요.,Reminiscent of peaceful rest on a sweltering day
RecordDescMoonlitBeach,,"여름밤, 달빛이 쏟아지는 해변의 낭만적인 느낌을 곡으로 표현했어요.",Expressing the feeling of a summer night on a beach bathed in moonlight
RecordDescCoolWave,,가슴 속까지 시원해지는 여름 바다의 청량함을 담아보았어요.,Expressing the coolness of the summer sea
RecordDescSummerEpilogue,,한여름의 뜨거움이 지나간 뒤 찾아오는 서늘하고 아련한 저녁 공기를 떠올리며 쓴 곡이에요.,"It brings to mind the cool, wistful evening air that follows the heat of midsummer."
RecordDescMemoriesontheSand,,여름 풍경 속에서 소중한 추억을 되새기는 듯한 포근하고 서정적인 사운드를 들려드려요.,A warm and lyrical sound that feels like reminiscing about precious memories amidst a summer landscape.
RecordDescDepressedSummer,,먹구름이 낮게 깔린 어두운 여름 하늘의 무게감을 음악으로 표현했어요.,Depicting a dark summer sky filled with storm clouds
RecordDescSummerRoad,,푸른 바다를 옆에 끼고 달리는 드라이브처럼 시원하고 활기찬 에너지를 선사해요.,"It offers cool and vibrant energy, like a summer drive with the blue sea beside you."
RecordDescASummerRest,,바쁜 일상 속에서 잠시 머물 수 있는 따뜻하고 안락한 느낌을 담았어요.,A warm and cozy feeling amidst a busy daily life
RecordDescStarlightDrive,,별빛 아래를 드라이브하는 듯한 상쾌하고 기분 좋은 느낌을 주고 싶었어요.,"A refreshing and pleasant feeling, like driving under the stars."
RecordDescMakemeYawn,,"나른한 여름 낮, 잔잔하게 하품이 절로 나오는 평화로운 기분이 들 거예요.",The feeling of gently yawning on a summer day
RecordDescAftertheSummerShower,,비가 그친 뒤 눅눅하면서도 차분하게 가라앉은 여름 오후의 느낌을 담아냈어요.,The feeling of a damp yet calm summer afternoon after the rain has stopped.
RecordDescTheHumidAir,,비 온 뒤의 습한 공기와 선선함이 묘하게 공존하는 무드를 표현했어요.,A mood where humid air and coolness coexist after the rain
RecordDescSummerStep,,따사로운 햇살 아래 길을 걷는 설레는 마음을 곡에 녹였어요.,Expressing the excitement of walking down the street in the sunlight
RecordDescAutumn’sFirstDay,,"높고 푸른 가을 하늘 아래, 새로운 시작을 앞둔 발걸음처럼 산뜻한 설렘을 담았어요.","Capturing the light and refreshing excitement like footsteps before a new beginning under the high, blue autumn sky"
RecordDescThe6PMRoutine,,퇴근길이나 하굣길의 평온함 속에서 가을 특유의 쓸쓸함과 따스함을 동시에 느껴보세요.,"Expressing the tranquility of daily life encountered on the way home from work or school, it simultaneously captures the unique melancholic yet warm sentiment of autumn."
RecordDescRhythmofFallingLeaves,,느긋한 비트 위로 낙엽이 바스락거리며 구르는 듯한 가을날의 생동감을 전달해요.,"The bouncy melody over a relaxed beat conveys the vibrancy of an autumn day, like dry leaves rustling and rolling along the road."
RecordDescWheretheLeavesOnceRested,,텅 빈 거리 위로 흩어지는 낙엽처럼 공허하고 고독한 느낌을 소리로 그려냈어요.,Expressing a sense of emptiness and loneliness like fallen leaves scattering over an empty street.
RecordDescTheLastPageoftheAutumn,,가을의 끝자락에서만 느껴지는 아련하고 쓸쓸한 정서를 담아보았어요.,Expressing the wistful and lonely feeling at the tail end of autumn
RecordDescAutumnChill-out,,선선한 가을바람을 맞으며 즐기는 도심 속 휴식의 순간을 선물해 드려요.,"Offering moments of relaxation in the city, enjoyed while feeling the cool autumn breeze."
RecordDescSketchofanAutumnDay,,가을 풍경 속에서 느껴지는 생동감 넘치는 평화로움을 곡에 가득 채웠어요.,Capturing the vibrant peacefulness felt in the autumn landscape
RecordDescAutumnAfternoonattheCafeTerrace,,낙엽을 바라보며 즐기는 커피 한 잔의 평화로운 무드를 곡에 담아냈어요.,Capturing the peaceful mood of a cup of coffee enjoyed while gazing at fallen leaves.
RecordDescMapleDream,,단풍 거리를 걸으며 마치 꿈을 꾸는 듯한 기분을 느끼도록 표현했어요.,Expressing a dream-like feeling while walking down a street of autumn foliage
RecordDescEndoftheBrownWind,,가을의 마지막을 마치 한 편의 드라마 엔딩처럼 느껴지도록 만들었어요.,Express the end of autumn so that it feels like the ending of a drama
RecordDescWinterStillness,,온 세상이 눈으로 뒤덮여 소음이 사라진 숲속의 평화로운 감성을 담았어요.,Capturing the peaceful atmosphere of a forest where the whole world is covered in snow and the noise has disappeared.
RecordDescWinterNightDiary,,따뜻한 방 안에서 홀로 하루를 정리하는 고요한 시간을 연상하며 쓴 곡이에요.,It evokes a quiet time of winding down the day alone in a warm room.
RecordDescTheTemperatureofFirstSnow,,차가운 공기 사이로 살포시 내려앉는 눈송이의 느낌을 소리로 표현했어요.,Expressing the feeling of snowflakes settling in the cold air
RecordDescChristmasatDawn,,"모두가 잠든 크리스마스 새벽, 하얗게 쌓인 눈 위로 흐르는 평온한 기쁨을 전해요.",Delivering the peaceful joy flowing over the white snow at dawn on Christmas when everyone is asleep
RecordDescChristmasMorningSunshine,,눈 뜬 순간 마주한 하얀 세상과 머리맡의 선물을 확인하는 설렘을 담았어요.,It conveys the pleasant excitement of facing the white world the moment you open your eyes and checking the gift by your bedside.
RecordDescWaltzofFrozenTime,,멈춰버린 겨울 풍경 속에서 피어오르는 아련한 기억과 서정적인 감성을 표현했어요.,Expressing faint memories and lyrical sensibilities blooming amidst a frozen winter landscape
RecordDescFirstSnow,,처음 내리는 눈을 맞이할 때의 그 벅찬 설렘을 곡에 녹여냈어요.,Expressing the excitement of the first snow
RecordDescWhisperofFrostFlowers,,유리창에 피어난 성에와 차가운 새벽 공기 사이로 흐르는 몽환적인 느낌이에요.,Expressing the dreamy feeling flowing between the frost blooming on the windowpane and the cold dawn air
RecordDescEndoftheSeason,,조금은 고독하면서도 한편으론 아늑한 겨울 특유의 감성을 가득 담아냈어요.,Capturing the unique winter sentiment that is both solitary and cozy
LakeStoreThemeName1,,잊혀진 도자기의 호수,Lake of Forgotten Ceramics
LakeStoreThemeName2,,알록달록 산호초 정원,Colorful Coral Garden
LakeStoreThemeName3,,고요한 이끼 바위 쉼터,Tranquil Moss Rock Haven
LakeStoreThemeName4,,가라앉은 고대의 기억,Sunken Ancient Memories
LakeStoreThemeName5,,난파선의 비밀 은신처,Secret Shipwreck Hideout
LakeStoreThemeName6,,따스한 심해의 숨결,Warm Breath of the Deep Sea
LakeStoreThemeName7,,꿈결 같은 진주 구름,Dreamy Pearl Dunes
LakeStoreThemeName8,,엮인 파도의 매듭,Knots of the Woven Waves
